fruitID,year,month,day,plantID,prevplantID,og.plantposition,round,filled.seeds,shriv.seeds,total.seeds,virgin.ovules,abrt.ovules,total.ovules,notes,counter,observer,CHECK.row.sum,CHECK.total.ovules,Ratio CHECK Total/Total,Ratio  row sum/total
800560,2017,9,29,si4,na,si4,4,6,0,6,4,0,10,4,ar,ar,10,10,1,1
800561,2017,9,29,si4,na,si4,4,3,3,6,4,0,10,5,ar,ar,10,10,1,1
800562,2017,9,29,si4,na,si4,4,5,0,5,5,0,10,6,ar,ar,10,10,1,1
800563,2017,9,29,si4,na,si4,4,6,0,6,3,0,9,7,ar,ar,9,9,1,1
800564,2017,9,29,si4,na,si4,4,3,2,5,3,0,8,8,ar,ar,8,8,1,1
800565,2017,9,29,si4,na,si4,4,5,1,6,3,0,9,9,ar,ar,9,9,1,1
800566,2017,9,29,si4,na,si4,4,5,0,5,4,0,9,10,ar,ar,9,9,1,1
800567,2017,9,29,si4,na,si4,1,1,0,1,9,0,10,1,ar,ar,10,10,1,1
800568,2017,9,29,st10,st25,st25,4,3,0,3,6,0,9,,mc,mc,9,9,1,1
800569,2017,9,29,st10,st25,st25,4,1,0,1,8,0,9,seed pod had damaged region,mc,mc,9,9,1,1
800570,2017,9,29,st11,na,st11,4,6,1,7,2,0,9,,mc,mc,9,9,1,1
800571,2017,9,29,st9,na,st9,4,1,1,2,10,0,12,"shriveled = smaller, thinner",mc,mc,12,12,1,1
800572,2017,9,28,ne15,ne24,ne24,4,7,0,7,1,0,8,,mc,mc,8,8,1,1
800573,2017,9,28,ne15,ne24,ne24,4,5,0,5,5,0,10,,mc,mc,10,10,1,1
800574,2017,9,28,ne15,ne24,ne24,4,6,0,6,2,0,8,,mc,mc,8,8,1,1
800575,2017,9,28,ne15,ne24,ne24,4,3,0,3,5,0,8,,mc,mc,8,8,1,1
800576,2017,9,28,ne15,ne24,ne24,4,8,0,8,1,0,9,,mc,mc,9,9,1,1
800577,2017,9,28,ne15,ne24,ne24,4,8,0,8,2,0,10,,mc,mc,10,10,1,1
800578,2017,9,28,ne15,ne24,ne24,4,10,0,10,0,0,10,,mc,mc,10,10,1,1
800579,2017,9,28,ne15,ne24,ne24,4,8,0,8,1,0,9,,mc,mc,9,9,1,1
800580,2017,9,28,ne15,ne24,ne24,4,7,0,7,2,0,9,,mc,mc,9,9,1,1
800581,2017,9,28,ne9,na,ne9,4,9,1,10,2,0,12,"shriveled = brown, not black",mc,mc,12,12,1,1
800582,2017,9,28,ne12,ne30,ne30,4,9,1,10,0,0,10,"shriveled = lighter, thinner",mc,mc,10,10,1,1
800583,2017,9,28,ne12,ne30,ne30,4,7,1,8,0,0,8,"shriveled = smaller, lighter",mc,mc,8,8,1,1
800584,2017,9,28,ne12,ne30,ne30,4,8,2,10,0,0,10,,mc,mc,10,10,1,1
800585,2017,9,28,ne12,ne30,ne30,4,0,0,0,5,4,9,"aborted = tiny, burnt-looking",mc,mc,9,9,1,1
800586,2017,9,28,ne12,ne30,ne30,4,6,1,7,0,0,7,shriveled = lighter in color,mc,mc,7,7,1,1
800587,2017,9,28,ne12,ne30,ne30,4,4,0,4,5,0,9,,mc,mc,9,9,1,1
800588,2017,9,28,ne8,na,ne8,4,4,0,4,7,0,11,,mc,mc,11,11,1,1
800589,2017,9,28,ne8,na,ne8,4,7,0,7,4,0,11,,mc,mc,11,11,1,1
800590,2017,9,28,ne8,na,ne8,4,4,1,5,3,0,8,"shriveled = smaller, lighter in color",mc,mc,8,8,1,1
